category,price_inr_mean,price_inr_median,price_inr_std,price_inr_min,price_inr_max,rating_mean,rating_median,rating_std,rating_min,rating_max,rating_count_mean,rating_count_median,rating_count_std,rating_count_min,rating_count_max
Veg Special Combos,497.0,450.0,125.78,410.0,715.0,4.5,4.4,0.34,4.1,4.9,16.4,2.0,28.6,1,67
Veg Special Pizza,301.71,265.71,140.73,171.43,450.0,4.32,4.3,0.51,3.6,4.9,7.4,2.0,10.69,1,26
Veg Special Rolls,193.33,200.0,11.55,180.0,200.0,4.73,4.8,0.31,4.4,5.0,39.0,11.0,54.67,4,102
Veg Specials,407.43,349.0,149.65,149.0,649.0,4.19,4.2,0.4,3.3,5.0,15.25,3.0,26.03,1,112
Veg Starter,160.0,160.0,56.57,120.0,200.0,4.3,4.3,0.71,3.8,4.8,4.0,4.0,0.0,4,4
Veg Starter Items,125.0,125.0,35.36,100.0,150.0,4.55,4.55,0.21,4.4,4.7,7.5,7.5,2.12,6,9
Veg Starters,230.8,249.0,97.28,69.0,750.0,4.25,4.4,0.65,1.6,5.0,22.19,4.0,73.3,1,616
Veg Tandoori Snacks,275.0,275.0,,275.0,275.0,3.2,3.2,,3.2,3.2,6.0,6.0,,6,6
Veg Varieties,262.5,260.0,5.0,260.0,270.0,4.3,4.25,0.45,3.8,4.9,5.75,5.0,3.1,3,10
Veg Wraps And Kathi Rolls,169.0,169.0,,169.0,169.0,3.1,3.1,,3.1,3.1,4.0,4.0,,4,4
Veg thali,355.0,355.0,,355.0,355.0,4.6,4.6,,4.6,4.6,7.0,7.0,,7,7
Veg. Curries,282.33,289.0,35.59,239.0,339.0,4.43,4.6,0.58,3.5,5.0,5.33,4.0,5.43,1,16
Veg/ Paneer/ Mushroom/ Babycorn/ Kaju Sabzi's,407.62,410.0,30.07,345.0,495.0,4.4,4.4,0.36,3.8,5.0,93.81,44.0,159.29,3,730
Vegan,510.0,510.0,21.21,495.0,525.0,3.85,3.85,0.78,3.3,4.4,4.0,4.0,1.41,3,5
Vegan & Sugar Free,253.39,253.39,0.0,253.39,253.39,4.68,4.8,0.29,4.2,5.0,25.08,21.5,19.21,3,72
Vegan (sorbets And Popsicles),77.97,77.97,0.0,77.97,77.97,4.71,4.6,0.29,4.3,5.0,3.43,3.0,1.99,1,6
Vegan Ice Creams,92.37,92.37,,92.37,92.37,4.1,4.1,,4.1,4.1,1.0,1.0,,1,1
Vegetable,160.73,150.0,57.52,70.0,280.0,3.71,3.7,0.61,2.2,5.0,17.27,9.0,15.89,3,54
Vegetable Curries,422.0,422.0,0.0,422.0,422.0,4.32,4.25,0.26,4.1,4.7,1.25,1.0,0.5,1,2
